,date_on,date_off,nackshatra_result,tithi_result,var_result
0,21.05.2023 06:35,21.05.2023 19:39,Mrigasira,Dwitiya,Sunday
1,17.09.2023 07:31,17.09.2023 08:39,Chitra,Dwitiya,Sunday
2,27.09.2022 03:46,27.09.2022 06:24,Chitra,Dwitiya,Tuesday
3,27.09.2022 06:24,27.09.2022 23:58,Chitra,Dwitiya,Tuesday
4,28.03.2023 06:12,28.03.2023 15:02,Mrigasira,Saptami,Tuesday
5,25.07.2023 04:21,25.07.2023 12:38,Chitra,Saptami,Tuesday
6,19.11.2023 20:18,20.11.2023 02:52,Dhanishta,Saptami,Sunday
7,29.11.2022 08:34,30.11.2022 04:41,Dhanishta,Saptami,Tuesday
8,26.09.2023 07:11,26.09.2023 23:15,Dhanishta,Dwadashi,Tuesday
9,28.11.2023 11:35,29.11.2023 08:31,Mrigasira,Dwitiya,Tuesday
10,17.09.2022 09:51,17.09.2022 11:44,Mrigasira,Saptami,Saturday
11,14.01.2023 15:43,14.01.2023 16:53,Chitra,Saptami,Saturday
12,20.11.2022 22:04,21.11.2022 07:37,Chitra,Dwadashi,Sunday
13,09.12.2023 04:01,09.12.2023 08:11,Chitra,Dwadashi,Saturday
14,18.03.2023 21:58,19.03.2023 05:37,Dhanishta,Dwadashi,Saturday
