;item_festival;;;;;;;;;;;January
0;Pausha Putrada Ekadashi;January;2;2023;1;02.01.2023;;;;;;February
1;Pradosh Vrat;January;4;2023;1;04.01.2023;;;;;;March
2;Anvadhan;January;6;2023;1;06.01.2023;;;;;;
3;Pausha Purnima;January;6;2023;1;06.01.2023;;;;;;
4;Shakambhari Purnima;January;6;2023;1;06.01.2023;;;;;;
5;Ishti;January;7;2023;1;07.01.2023;;;;;;
6;Sakat Chauth;January;10;2023;1;10.01.2023;;;;;;
7;Lambodara Sankashti Chaturthi;January;10;2023;1;10.01.2023;;;;;;
8;Pongal;January;15;2023;1;15.01.2023;;;;;;
9;Makara Sankranti;January;15;2023;1;15.01.2023;;;;;;
10;Shattila Ekadashi;January;18;2023;1;18.01.2023;;;;;;
11;Pradosh Vrat;January;19;2023;1;19.01.2023;;;;;;
12;Anvadhan;January;21;2023;1;21.01.2023;;;;;;
13;Mauni Amavas;January;21;2023;1;21.01.2023;;;;;;
14;Magha Amavasya;January;21;2023;1;21.01.2023;;;;;;
15;Darsha Amavasya;January;21;2023;1;21.01.2023;;;;;;
16;Ishti;January;22;2023;1;22.01.2023;;;;;;
17;Magha Navratri;January;22;2023;1;22.01.2023;;;;;;
18;Chandra Darshana;January;23;2023;1;23.01.2023;;;;;;
19;Vasant Panchami;January;25;2023;1;25.01.2023;;;;;;
20;Ratha Saptami;January;27;2023;1;27.01.2023;;;;;;
21;Bhishma Ashtami;January;28;2023;1;28.01.2023;;;;;;
22;Jaya Ekadashi;February;1;2023;2;01.02.2023;;;;;;
23;Pradosh Vrat;February;2;2023;2;02.02.2023;;;;;;
24;Jaya Ekadashi;February;1;2023;2;;;;;;;
25;Pradosh Vrat;February;2;2023;;;;;;;;
26;Anvadhan;February;5;2023;;;;;;;;
27;Magha Purnima;February;5;2023;;;;;;;;
28;Ishti;February;6;2023;;;;;;;;
29;Dwijapriya Sankashti Chaturthi;February;9;2023;;;;;;;;
30;Kumbha Sankranti;February;13;2023;;;;;;;;
31;Vijaya Ekadashi;February;16;2023;;;;;;;;
32;Pradosh Vrat;February;18;2023;;;;;;;;
33;Maha Shivaratri;February;18;2023;;;;;;;;
34;Anvadhan;February;19;2023;;;;;;;;
35;Darsha Amavasya;February;19;2023;;;;;;;;
36;Ishti;February;20;2023;;;;;;;;
37;Somavati Amavasya;February;20;2023;;;;;;;;
38;Phalguna Amavasya;February;20;2023;;;;;;;;
39;Phulera Dooj;February;21;2023;;;;;;;;
40;Chandra Darshana;February;21;2023;;;;;;;;
41;Amalaki Ekadashi;March;2;2023;;;;;;;;
42;Vaishnava Amalaki Ekadashi;March;3;2023;;;;;;;;
43;Pradosh Vrat;March;4;2023;;;;;;;;
44;Amalaki Ekadashi;March;2;2023;;;;;;;;
45;Vaishnava Amalaki Ekadashi;March;3;2023;;;;;;;;
46;Pradosh Vrat;March;4;2023;;;;;;;;
47;Chhoti Holi;March;6;2023;;;;;;;;
48;Holika Dahan;March;6;2023;;;;;;;;
49;Holi;March;7;2023;;;;;;;;
50;Anvadhan;March;7;2023;;;;;;;;
51;Vasanta Purnima;March;7;2023;;;;;;;;
52;Phalguna Purnima;March;7;2023;;;;;;;;
53;Ishti;March;8;2023;;;;;;;;
54;Bhai Dooj;March;9;2023;;;;;;;;
55;Bhratri Dwitiya;March;9;2023;;;;;;;;
56;Bhalachandra Sankashti Chaturthi;March;10;2023;;;;;;;;
57;Ranga Panchami;March;12;2023;;;;;;;;
58;Sheetala Saptami;March;14;2023;;;;;;;;
59;Basoda;March;15;2023;;;;;;;;
60;Meena Sankranti;March;15;2023;;;;;;;;
61;Sheetala Ashtami;March;15;2023;;;;;;;;
62;Papmochani Ekadashi;March;17;2023;;;;;;;;
63;Gauna Papmochani Ekadashi;March;18;2023;;;;;;;;
64;Vaishnava Papmochani Ekadashi;March;18;2023;;;;;;;;
65;Pradosh Vrat;March;19;2023;;;;;;;;
66;Anvadhan;March;21;2023;;;;;;;;
67;Darsha Amavasya;March;21;2023;;;;;;;;
68;Chaitra Amavasya;March;21;2023;;;;;;;;
69;Ugadi;March;22;2023;;;;;;;;
70;Ishti;March;22;2023;;;;;;;;
71;Gudi Padwa;March;22;2023;;;;;;;;
72;Chaitra Navratri;March;22;2023;;;;;;;;
73;Chandra Darshana;March;22;2023;;;;;;;;
74;Gangaur;March;24;2023;;;;;;;;
75;Gauri Puja;March;24;2023;;;;;;;;
76;Matsya Jayanti;March;24;2023;;;;;;;;
77;Lakshmi Panchami;March;25;2023;;;;;;;;
78;Yamuna Chhath;March;27;2023;;;;;;;;
79;Rama Navami;March;30;2023;;;;;;;;
80;Swaminarayan Jayanti;March;30;2023;;;;;;;;
81;Kamada Ekadashi;April;1;2023;;;;;;;;
82;Yamuna Chhath;March;27;2023;;;;;;;;
83;Rama Navami;March;30;2023;;;;;;;;
84;Swaminarayan Jayanti;March;30;2023;;;;;;;;
85;Kamada Ekadashi;April;1;2023;;;;;;;;
86;Pradosh Vrat;April;3;2023;;;;;;;;
87;Anvadhan;April;5;2023;;;;;;;;
88;Ishti;April;6;2023;;;;;;;;
89;Hanuman Jayanti;April;6;2023;;;;;;;;
