,item_festival,item_festival_title
0,Saphala Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Saphala Ekadashi <br> on January 7th (Sunday)
1,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on January 9th (Tuesday)
2,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on January 11th (Thursday)
3,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on January 11th (Thursday)
4,Pausha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Pausha Amavasya <br> on January 11th (Thursday)
5,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on January 12th (Friday)
6,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on January 13th (Saturday)
7,Pongal,<img class='dpTooltipImg' src='/images/festivals/60x60/thai_pongal.png' alt='icon'> Pongal <br> on January 15th (Monday)
8,Makara Sankranti,<img class='dpTooltipImg' src='/images/festivals/60x60/uttarayana_sankranti.png' alt='icon'> Makara Sankranti <br> on January 15th (Monday)
9,Pausha Putrada Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Pausha Putrada Ekadashi <br> on January 21st (Sunday)
10,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on January 22nd (Monday)
11,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on January 25th (Thursday)
12,Pausha Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Pausha Purnima <br> on January 25th (Thursday)
13,Shakambhari Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/goddess_shakambari.png' alt='icon'> Shakambhari Purnima <br> on January 25th (Thursday)
14,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on January 26th (Friday)
15,Sakat Chauth,<img class='dpTooltipImg' src='/images/festivals/60x60/sankashti_chaturthi.png' alt='icon'> Sakat Chauth <br> on January 29th (Monday)
16,Lambodara Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/lambodara_ganesha.png' alt='icon'> Lambodara Sankashti Chaturthi <br> on January 29th (Monday)
17,Sakat Chauth,<img class='dpTooltipImg' src='/images/festivals/60x60/sankashti_chaturthi.png' alt='icon'> Sakat Chauth <br> on January 29th (Monday)
18,Lambodara Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/lambodara_ganesha.png' alt='icon'> Lambodara Sankashti Chaturthi <br> on January 29th (Monday)
19,Shattila Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Shattila Ekadashi <br> on February 6th (Tuesday)
20,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on February 7th (Wednesday)
21,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on February 9th (Friday)
22,Mauni Amavas,<img class='dpTooltipImg' src='/images/festivals/60x60/mauni_amavasya_bath.png' alt='icon'> Mauni Amavas <br> on February 9th (Friday)
23,Magha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Magha Amavasya <br> on February 9th (Friday)
24,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on February 9th (Friday)
25,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on February 10th (Saturday)
26,Magha Navratri,<img class='dpTooltipImg' src='/images/festivals/60x60/chaitra_navratri.png' alt='icon'> Magha Navratri <br> on February 10th (Saturday)
27,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on February 11th (Sunday)
28,Vasant Panchami,<img class='dpTooltipImg' src='/images/festivals/60x60/vasant_panchami_puja.png' alt='icon'> Vasant Panchami <br> on February 13th (Tuesday)
29,Kumbha Sankranti,<img class='dpTooltipImg' src='/images/festivals/60x60/surya_puja.png' alt='icon'> Kumbha Sankranti <br> on February 13th (Tuesday)
30,Ratha Saptami,<img class='dpTooltipImg' src='/images/festivals/60x60/ratha_saptami.png' alt='icon'> Ratha Saptami <br> on February 15th (Thursday)
31,Bhishma Ashtami,<img class='dpTooltipImg' src='/images/festivals/60x60/bhishma_ashtami.png' alt='icon'> Bhishma Ashtami <br> on February 16th (Friday)
32,Jaya Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Jaya Ekadashi <br> on February 19th (Monday)
33,Vaishnava Jaya Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Vaishnava Jaya Ekadashi <br> on February 20th (Tuesday)
34,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on February 21st (Wednesday)
35,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on February 24th (Saturday)
36,Magha Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Magha Purnima <br> on February 24th (Saturday)
37,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on February 25th (Sunday)
38,Dwijapriya Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/sankashti_chaturthi.png' alt='icon'> Dwijapriya Sankashti Chaturthi <br> on February 28th (Wednesday)
39,Dwijapriya Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/sankashti_chaturthi.png' alt='icon'> Dwijapriya Sankashti Chaturthi <br> on February 28th (Wednesday)
40,Vijaya Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Vijaya Ekadashi <br> on March 6th (Wednesday)
41,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on March 8th (Friday)
42,Maha Shivaratri,<img class='dpTooltipImg' src='/images/festivals/60x60/ladies_maha_shivaratri_puja.png' alt='icon'> Maha Shivaratri <br> on March 8th (Friday)
43,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on March 9th (Saturday)
44,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on March 9th (Saturday)
45,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on March 10th (Sunday)
46,Phalguna Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Phalguna Amavasya <br> on March 10th (Sunday)
47,Phulera Dooj,<img class='dpTooltipImg' src='/images/festivals/60x60/phulera_dooj.png' alt='icon'> Phulera Dooj <br> on March 11th (Monday)
48,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on March 11th (Monday)
49,Meena Sankranti,<img class='dpTooltipImg' src='/images/festivals/60x60/meena_sankranti.png' alt='icon'> Meena Sankranti <br> on March 14th (Thursday)
50,Amalaki Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Amalaki Ekadashi <br> on March 20th (Wednesday)
51,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on March 22nd (Friday)
52,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on March 24th (Sunday)
53,Chhoti Holi,<img class='dpTooltipImg' src='/images/festivals/60x60/holika_dahan_prahlada.png' alt='icon'> Chhoti Holi <br> on March 24th (Sunday)
54,Holika Dahan,<img class='dpTooltipImg' src='/images/festivals/60x60/holika_dahan_prahlada.png' alt='icon'> Holika Dahan <br> on March 24th (Sunday)
