item_date;item_sunrise;item_sunset
01.01.2023;08:59;16:07
02.01.2023;08:59;16:08
03.01.2023;08:59;16:09
04.01.2023;08:58;16:11
05.01.2023;08:58;16:12
06.01.2023;08:57;16:14
07.01.2023;08:57;16:15
08.01.2023;08:56;16:17
09.01.2023;08:55;16:18
10.01.2023;08:55;16:20
11.01.2023;08:54;16:21
12.01.2023;08:53;16:23
13.01.2023;08:52;16:25
14.01.2023;08:51;16:27
15.01.2023;08:50;16:28
16.01.2023;08:49;16:30
17.01.2023;08:47;16:32
18.01.2023;08:46;16:34
19.01.2023;08:45;16:36
20.01.2023;08:44;16:38
21.01.2023;08:42;16:40
22.01.2023;08:41;16:42
23.01.2023;08:39;16:44
24.01.2023;08:38;16:46
25.01.2023;08:36;16:48
26.01.2023;08:35;16:50
27.01.2023;08:33;16:52
28.01.2023;08:31;16:54
29.01.2023;08:30;16:56
30.01.2023;08:28;16:58
31.01.2023;08:26;17:01
01.02.2023;08:24;17:03
02.02.2023;08:22;17:05
03.02.2023;08:20;17:07
04.02.2023;08:18;17:09
29.01.2023;08:30;16:56
30.01.2023;08:28;16:58
31.01.2023;08:26;17:01
01.02.2023;08:24;17:03
02.02.2023;08:22;17:05
03.02.2023;08:20;17:07
04.02.2023;08:18;17:09
05.02.2023;08:16;17:11
06.02.2023;08:14;17:14
07.02.2023;08:12;17:16
08.02.2023;08:10;17:18
09.02.2023;08:08;17:20
10.02.2023;08:06;17:22
11.02.2023;08:04;17:24
12.02.2023;08:02;17:27
13.02.2023;08:00;17:29
14.02.2023;07:57;17:31
15.02.2023;07:55;17:33
16.02.2023;07:53;17:35
17.02.2023;07:51;17:37
18.02.2023;07:48;17:40
19.02.2023;07:46;17:42
20.02.2023;07:44;17:44
21.02.2023;07:41;17:46
22.02.2023;07:39;17:48
23.02.2023;07:36;17:50
24.02.2023;07:34;17:53
25.02.2023;07:32;17:55
26.02.2023;07:29;17:57
27.02.2023;07:27;17:59
28.02.2023;07:24;18:01
01.03.2023;07:22;18:03
02.03.2023;07:19;18:05
03.03.2023;07:17;18:07
04.03.2023;07:14;18:09
26.02.2023;07:29;17:57
27.02.2023;07:27;17:59
28.02.2023;07:24;18:01
01.03.2023;07:22;18:03
02.03.2023;07:19;18:05
03.03.2023;07:17;18:07
04.03.2023;07:14;18:09
05.03.2023;07:12;18:12
06.03.2023;07:09;18:14
07.03.2023;07:07;18:16
08.03.2023;07:04;18:18
09.03.2023;07:01;18:20
10.03.2023;06:59;18:22
11.03.2023;06:56;18:24
12.03.2023;06:54;18:26
13.03.2023;06:51;18:28
14.03.2023;06:49;18:30
15.03.2023;06:46;18:32
16.03.2023;06:43;18:34
17.03.2023;06:41;18:36
18.03.2023;06:38;18:38
19.03.2023;06:36;18:40
20.03.2023;06:33;18:42
21.03.2023;06:30;18:44
22.03.2023;06:28;18:46
23.03.2023;06:25;18:48
24.03.2023;06:22;18:50
25.03.2023;06:20;18:52
26.03.2023;06:17;18:54
27.03.2023;06:15;18:57
28.03.2023;06:12;18:59
29.03.2023;06:09;19:01
30.03.2023;06:07;19:03
31.03.2023;06:04;19:05
01.04.2023;06:02;19:07
30.04.2023;04:50;20:05
27.03.2023;06:15;18:57
28.03.2023;06:12;18:59
29.03.2023;06:09;19:01
30.03.2023;06:07;19:03
31.03.2023;06:04;19:05
01.04.2023;06:02;19:07
02.04.2023;05:59;19:09
03.04.2023;05:56;19:11
04.04.2023;05:54;19:13
05.04.2023;05:51;19:15
06.04.2023;05:49;19:17
07.04.2023;05:46;19:19
08.04.2023;05:43;19:21
09.04.2023;05:41;19:23
10.04.2023;05:38;19:25
11.04.2023;05:36;19:27
12.04.2023;05:33;19:29
13.04.2023;05:31;19:31
14.04.2023;05:28;19:33
15.04.2023;05:26;19:35
16.04.2023;05:23;19:37
17.04.2023;05:21;19:39
18.04.2023;05:18;19:41
19.04.2023;05:16;19:43
20.04.2023;05:13;19:45
21.04.2023;05:11;19:47
22.04.2023;05:09;19:49
23.04.2023;05:06;19:51
24.04.2023;05:04;19:53
25.04.2023;05:01;19:55
26.04.2023;04:59;19:57
27.04.2023;04:57;19:59
28.04.2023;04:54;20:01
29.04.2023;04:52;20:03
30.04.2023;04:50;20:05
01.05.2023;04:48;20:07
02.05.2023;04:45;20:09
03.05.2023;04:43;20:11
04.05.2023;04:41;20:13
05.05.2023;04:39;20:15
06.05.2023;04:37;20:17
07.05.2023;04:35;20:19
08.05.2023;04:33;20:21
09.05.2023;04:30;20:23
10.05.2023;04:28;20:25
11.05.2023;04:26;20:27
12.05.2023;04:25;20:29
13.05.2023;04:23;20:30
14.05.2023;04:21;20:32
15.05.2023;04:19;20:34
16.05.2023;04:17;20:36
17.05.2023;04:15;20:38
18.05.2023;04:14;20:40
19.05.2023;04:12;20:41
20.05.2023;04:10;20:43
21.05.2023;04:09;20:45
22.05.2023;04:07;20:47
23.05.2023;04:05;20:48
24.05.2023;04:04;20:50
25.05.2023;04:02;20:52
26.05.2023;04:01;20:53
27.05.2023;04:00;20:55
28.05.2023;03:58;20:56
29.05.2023;03:57;20:58
30.05.2023;03:56;20:59
31.05.2023;03:55;21:00
01.06.2023;03:54;21:02
02.06.2023;03:53;21:03
03.06.2023;03:52;21:04
28.05.2023;03:58;20:56
29.05.2023;03:57;20:58
30.05.2023;03:56;20:59
31.05.2023;03:55;21:00
01.06.2023;03:54;21:02
02.06.2023;03:53;21:03
03.06.2023;03:52;21:04
04.06.2023;03:51;21:06
05.06.2023;03:50;21:07
06.06.2023;03:49;21:08
07.06.2023;03:48;21:09
08.06.2023;03:48;21:10
09.06.2023;03:47;21:11
10.06.2023;03:46;21:12
11.06.2023;03:46;21:13
12.06.2023;03:46;21:14
13.06.2023;03:45;21:14
14.06.2023;03:45;21:15
15.06.2023;03:45;21:16
16.06.2023;03:44;21:16
17.06.2023;03:44;21:17
18.06.2023;03:44;21:17
19.06.2023;03:44;21:18
20.06.2023;03:44;21:18
21.06.2023;03:45;21:18
22.06.2023;03:45;21:18
23.06.2023;03:45;21:18
24.06.2023;03:45;21:18
25.06.2023;03:46;21:18
26.06.2023;03:46;21:18
27.06.2023;03:47;21:18
28.06.2023;03:47;21:18
29.06.2023;03:48;21:18
30.06.2023;03:49;21:17
01.07.2023;03:49;21:17
30.07.2023;04:30;20:41
31.07.2023;04:32;20:39
27.06.2023;03:47;21:18
28.06.2023;03:47;21:18
29.06.2023;03:48;21:18
30.06.2023;03:49;21:17
01.07.2023;03:49;21:17
02.07.2023;03:50;21:16
03.07.2023;03:51;21:16
04.07.2023;03:52;21:15
05.07.2023;03:53;21:15
06.07.2023;03:54;21:14
07.07.2023;03:55;21:13
08.07.2023;03:56;21:12
09.07.2023;03:57;21:11
10.07.2023;03:59;21:10
11.07.2023;04:00;21:09
12.07.2023;04:01;21:08
13.07.2023;04:03;21:07
14.07.2023;04:04;21:06
15.07.2023;04:05;21:05
16.07.2023;04:07;21:03
17.07.2023;04:08;21:02
18.07.2023;04:10;21:01
19.07.2023;04:11;20:59
20.07.2023;04:13;20:58
