,item_festival,item_festival_title
0,Pausha Putrada Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Pausha Putrada Ekadashi <br> on January 1st (Sunday)
1,Vaishnava Pausha Putrada Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Vaishnava Pausha Putrada Ekadashi <br> on January 2nd (Monday)
2,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on January 3rd (Tuesday)
3,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on January 6th (Friday)
4,Pausha Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Pausha Purnima <br> on January 6th (Friday)
5,Shakambhari Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/goddess_shakambari.png' alt='icon'> Shakambhari Purnima <br> on January 6th (Friday)
6,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on January 7th (Saturday)
7,Sakat Chauth,<img class='dpTooltipImg' src='/images/festivals/60x60/sankashti_chaturthi.png' alt='icon'> Sakat Chauth <br> on January 10th (Tuesday)
8,Lambodara Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/lambodara_ganesha.png' alt='icon'> Lambodara Sankashti Chaturthi <br> on January 10th (Tuesday)
9,Pongal,<img class='dpTooltipImg' src='/images/festivals/60x60/thai_pongal.png' alt='icon'> Pongal <br> on January 14th (Saturday)
10,Makara Sankranti,<img class='dpTooltipImg' src='/images/festivals/60x60/uttarayana_sankranti.png' alt='icon'> Makara Sankranti <br> on January 14th (Saturday)
11,Shattila Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Shattila Ekadashi <br> on January 17th (Tuesday)
12,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on January 19th (Thursday)
13,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on January 20th (Friday)
14,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on January 20th (Friday)
15,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on January 21st (Saturday)
16,Mauni Amavas,<img class='dpTooltipImg' src='/images/festivals/60x60/mauni_amavasya_bath.png' alt='icon'> Mauni Amavas <br> on January 21st (Saturday)
17,Magha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Magha Amavasya <br> on January 21st (Saturday)
18,Magha Navratri,<img class='dpTooltipImg' src='/images/festivals/60x60/chaitra_navratri.png' alt='icon'> Magha Navratri <br> on January 22nd (Sunday)
19,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on January 22nd (Sunday)
20,Vasant Panchami,<img class='dpTooltipImg' src='/images/festivals/60x60/vasant_panchami_puja.png' alt='icon'> Vasant Panchami <br> on January 25th (Wednesday)
21,Ratha Saptami,<img class='dpTooltipImg' src='/images/festivals/60x60/ratha_saptami.png' alt='icon'> Ratha Saptami <br> on January 27th (Friday)
22,Bhishma Ashtami,<img class='dpTooltipImg' src='/images/festivals/60x60/bhishma_ashtami.png' alt='icon'> Bhishma Ashtami <br> on January 28th (Saturday)
23,Jaya Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Jaya Ekadashi <br> on January 31st (Tuesday)
24,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on February 2nd (Thursday)
25,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on February 4th (Saturday)
26,Jaya Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Jaya Ekadashi <br> on January 31st (Tuesday)
27,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on February 2nd (Thursday)
28,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on February 4th (Saturday)
29,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on February 5th (Sunday)
30,Magha Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Magha Purnima <br> on February 5th (Sunday)
31,Dwijapriya Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/sankashti_chaturthi.png' alt='icon'> Dwijapriya Sankashti Chaturthi <br> on February 8th (Wednesday)
32,Kumbha Sankranti,<img class='dpTooltipImg' src='/images/festivals/60x60/surya_puja.png' alt='icon'> Kumbha Sankranti <br> on February 12th (Sunday)
33,Vijaya Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Vijaya Ekadashi <br> on February 16th (Thursday)
34,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on February 17th (Friday)
35,Maha Shivaratri,<img class='dpTooltipImg' src='/images/festivals/60x60/ladies_maha_shivaratri_puja.png' alt='icon'> Maha Shivaratri <br> on February 18th (Saturday)
36,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on February 19th (Sunday)
37,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on February 19th (Sunday)
38,Phalguna Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Phalguna Amavasya <br> on February 19th (Sunday)
39,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on February 20th (Monday)
40,Phulera Dooj,<img class='dpTooltipImg' src='/images/festivals/60x60/phulera_dooj.png' alt='icon'> Phulera Dooj <br> on February 21st (Tuesday)
41,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on February 21st (Tuesday)
42,Amalaki Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Amalaki Ekadashi <br> on March 2nd (Thursday)
43,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on March 4th (Saturday)
44,Amalaki Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Amalaki Ekadashi <br> on March 2nd (Thursday)
45,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on March 4th (Saturday)
46,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on March 6th (Monday)
