,date_on,date_off,nackshatra_result,tithi_result,var_result
0,01.02.2023 11:32,02.02.2023 00:53,Mrigasira,Dwadashi,Wednesday
1,07.09.2022 00:35,07.09.2022 05:45,Uttarashadha,Dwadashi,Wednesday
2,07.09.2022 05:45,07.09.2022 13:30,Uttarashadha,Dwadashi,Wednesday
3,29.11.2023 08:31,29.11.2023 11:27,Mrigasira,Dwitiya,Wednesday
4,08.03.2023 17:13,09.03.2023 01:49,Uttara Phalg.,Dwitiya,Wednesday
5,06.09.2023 06:50,06.09.2023 13:08,Rohini,Saptami,Wednesday
6,18.01.2023 13:33,18.01.2023 14:52,Anuradha,Dwadashi,Wednesday
7,29.03.2023 06:09,29.03.2023 17:37,Ardra,Ashtami,Wednesday
8,04.01.2023 08:58,04.01.2023 16:18,Rohini,Trayodashi,Wednesday
9,04.01.2023 16:18,04.01.2023 21:31,Mrigasira,Trayodashi,Wednesday
10,10.08.2022 07:09,10.08.2022 11:45,Uttarashadha,Trayodashi,Wednesday
11,29.11.2023 11:27,29.11.2023 11:29,Mrigasira,Tritiya,Wednesday
12,29.11.2023 11:29,30.11.2023 08:33,Ardra,Tritiya,Wednesday
13,08.02.2023 17:44,09.02.2023 03:53,Uttara Phalg.,Tritiya,Wednesday
14,06.09.2023 13:08,07.09.2023 05:45,Rohini,Ashtami,Wednesday
15,21.12.2022 06:02,21.12.2022 08:57,Anuradha,Trayodashi,Wednesday
16,21.12.2022 08:57,21.12.2022 19:46,Anuradha,Trayodashi,Wednesday
