,date_on,date_off,tithi_result,var_result
0,26.10.2022 12:12,27.10.2022 07:25,Dwitiya,Wednesday
1,22.03.2023 17:51,23.03.2023 06:25,Dwitiya,Wednesday
2,19.07.2023 04:11,20.07.2023 02:00,Dwitiya,Wednesday
3,15.11.2023 00:53,15.11.2023 11:17,Dwitiya,Wednesday
4,30.11.2022 04:41,30.11.2022 06:28,Saptami,Wednesday
5,28.12.2022 18:14,29.12.2022 09:00,Saptami,Wednesday
6,26.04.2023 08:58,27.04.2023 04:29,Saptami,Wednesday
7,23.08.2023 00:36,24.08.2023 01:01,Saptami,Wednesday
8,07.09.2022 00:35,07.09.2022 21:35,Dwadashi,Wednesday
9,01.02.2023 11:32,02.02.2023 00:53,Dwadashi,Wednesday
10,31.05.2023 11:16,01.06.2023 03:54,Dwadashi,Wednesday
11,25.10.2023 10:02,26.10.2023 07:14,Dwadashi,Wednesday
12,09.11.2022 14:47,10.11.2022 00:39,Dwitiya,Wednesday
13,08.03.2023 17:13,09.03.2023 01:49,Dwitiya,Wednesday
14,05.07.2023 03:09,05.07.2023 07:32,Dwitiya,Wednesday
15,02.08.2023 17:36,03.08.2023 04:38,Dwitiya,Wednesday
16,29.11.2023 08:31,29.11.2023 11:27,Dwitiya,Wednesday
17,17.08.2022 17:54,18.08.2022 05:07,Saptami,Wednesday
18,14.12.2022 21:12,15.12.2022 02:45,Saptami,Wednesday
19,12.04.2023 03:09,13.04.2023 01:14,Saptami,Wednesday
20,06.09.2023 05:43,06.09.2023 13:08,Saptami,Wednesday
21,24.08.2022 05:18,24.08.2022 06:00,Dwadashi,Wednesday
22,21.09.2022 21:04,22.09.2022 06:14,Dwadashi,Wednesday
23,18.01.2023 13:33,19.01.2023 08:45,Dwadashi,Wednesday
24,14.06.2023 06:18,15.06.2023 03:45,Dwadashi,Wednesday
25,11.10.2023 06:14,11.10.2023 15:07,Dwadashi,Wednesday
